State,Percent_Technology_Sales
Montana,65.53
Maine,59.92
Delaware,53.05
Florida,52.49
New Hampshire,49.87
Indiana,49.15
District of Columbia,48.16
North Carolina,46.91
Rhode Island,46.29
Alabama,45.97
Ohio,45.59
Nebraska,44.02
New York,41.01
New Jersey,40.55
Illinois,39.9
Texas,38.25
Washington,36.45
Pennsylvania,36.23
New Mexico,35.5
California,34.8
Kentucky,34.35
Virginia,34.18
Colorado,34.15
Arkansas,33.61
Oregon,33.4
Arizona,33.31
Oklahoma,32.35
Missouri,31.91
Louisiana,30.71
Nevada,30.71
South Dakota,29.87
Kansas,29.13
Georgia,28.63
Wisconsin,27.4
Mississippi,26.2
Iowa,25.2
Michigan,21.27
Connecticut,20.85
Utah,20.59
Massachusetts,20.0
Idaho,19.11
South Carolina,18.77
Vermont,17.92
Maryland,17.57
Tennessee,15.68
Minnesota,9.53
North Dakota,0.0
Wyoming,0.0
West Virginia,0.0
